grid_id,district_name,edge_cell,grid_emergence_type_v51,emergence_index_v51,suppression_index_v51,is_suppressed_frontier,has_positive_rule,has_primary_positive_rule,pred_is_suppressed_frontier_v61,pred_has_positive_rule_v61,pred_has_primary_positive_rule_v61,pred_suppression_index_v61,positive_rule_count,positive_rule_norm,rule_liminal_exposure_norm,pet_ecology_norm,liminal_host_norm,liminal_potential_norm,rule_liminal_exposure_norm_v51,positive_rule_norm_v51,topology_norm,rule_silence_norm,restrictive_norm,valid_area_km2,boundary_share,road_density_m_per_km2,ped_path_density_m_per_km2,public_space_share,building_coverage_share,building_count_per_km2,primary_rule_count,primary_positive_rule_count,primary_restrictive_rule_count,shopping_mall_host_count,hotel_host_count,restaurant_host_count,residential_property_host_count,park_or_recreation_host_count,primary_source_support_class,public_space_share_raw
SZ500_0000_0066,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.00025887589118279075,0.0012253612563610402,0.0008889224227569755,0.0015085908432957984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005515305,0.022061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0067,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.0005228773854555592,0.00201257363586043,0.0016259128548102384,-0.003949064688327994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068179153,0.272717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0068,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.0005151310335996948,0.003035576151812489,0.0027498220711633186,-0.00820918978932847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117093297,0.468373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0069,宝安区,no,low_pet_city_signal,0.0,0.0,0,0,0,8.243571170844749e-06,0.00021928490139556646,0.00022313023663882568,-0.007816420901497756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149705179,0.598821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0070,宝安区,no,low_pet_city_signal,0.0,0.0,0,0,0,8.179919574890052e-06,0.0002837176495503366,0.00029004774718076093,-0.009367127845081272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675179759999999,0.670072,0.0,0.0,0.000769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.000769
SZ500_0000_0071,宝安区,no,low_pet_city_signal,0.0,0.0,0,0,0,6.206206598527431e-06,0.000246875710569723,0.0002375581628283891,-0.007928727864021462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15099466,0.603979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0072,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.0005267252960934627,0.0016629213542181424,0.001291674546616081,-0.0018562900648705222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044150349,0.176601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0001_0062,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.0005329744631451686,0.001152476223570355,0.0008554312323304574,0.0015101198226174783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005497694,0.021991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0001_0063,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.000524871563616524,0.0017201027704695112,0.0014291746839401427,-0.0028625707363301167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557042549999999,0.222817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0001_0064,宝安区,yes,low_pet_city_signal,0.0712629340441044,0.0,0,0,0,8.663343018507683e-06,0.001431402011014798,0.0017443952323510162,-0.002903822457291025,0.0,0.0,0.0,0.0,0.0,0.3959051891339135,0.0,0.0,0.0,0.0,0.0,0.071938164,0.287753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no_primary_rule_signal,0.0
