grid_id,district_name,centroid_lon,centroid_lat,valid_area_km2,boundary_share,edge_cell,parent_grid_id_500m,grid_emergence_type_v51,emergence_index_v51,suppression_index_v51,readiness_deficit_index_v51,pet_service_count_2025,host_candidates,positive_rule_present,pop2025_1km_centroid_value,pop2025_100m_centroid_value,frontier_v51,emergent_core_v51
SZ500_0000_0066,宝安区,113.75211596,22.69384105,0.005515305,0.022061,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,0
SZ500_0000_0067,宝安区,113.75220615,22.69835271,0.068179153,0.272717,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,0
SZ500_0000_0068,宝安区,113.75229637,22.70286437,0.11709329700000001,0.468373,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,3.760057210922241,,0,0
SZ500_0000_0069,宝安区,113.7523866,22.70737602,0.149705179,0.598821,no,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,3.760057210922241,,0,0
SZ500_0000_0070,宝安区,113.75247686,22.71188768,0.16751797599999999,0.670072,no,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,26.416967391967773,1.1655349731445312,0,0
SZ500_0000_0071,宝安区,113.75256714,22.71639933,0.15099466,0.603979,no,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,26.416967391967773,1.1305630207061768,0,0
SZ500_0000_0072,宝安区,113.75265745,22.72091097,0.044150349000000005,0.176601,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,11.410567283630371,,0,0
SZ500_0001_0062,宝安区,113.75661716,22.67571071,0.005497694,0.021991,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,,,0,0
SZ500_0001_0063,宝安区,113.75670742,22.68022236,0.055704254999999994,0.222817,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,,,0,0
SZ500_0001_0064,宝安区,113.7567977,22.68473401,0.071938164,0.287753,yes,,low_pet_city_signal,0.0712629340441044,0.0,0.0,0.0,1.0,0,,,0,0
SZ500_0001_0065,宝安区,113.756888,22.68924566,0.154290859,0.617163,no,,low_pet_city_signal,0.0061765367088872,0.0,0.0,0.0,0.0,0,,,0,0
SZ500_0001_0066,宝安区,113.75697833,22.6937573,0.23288835800000002,0.931553,no,,low_pet_city_signal,0.0458222172590079,0.0,0.0,0.0,0.0,0,0.0,,0,0
SZ500_0001_0067,宝安区,113.75706868,22.69826895,0.25,1.0,no,,low_pet_city_signal,0.0871457086798265,0.0,0.0,0.0,0.0,0,0.0,,0,0
SZ500_0001_0068,宝安区,113.75715905,22.70278058,0.25,1.0,no,,low_pet_city_signal,0.1657354577146488,0.0,0.0,0.0,1.0,0,3.760057210922241,,0,0
SZ500_0001_0069,宝安区,113.75724944,22.70729222,0.25,1.0,no,,low_pet_city_signal,0.0826350861588604,0.0,0.0,0.0,0.0,0,3.760057210922241,,0,0
SZ500_0001_0070,宝安区,113.75733986,22.71180385,0.25,1.0,no,,low_pet_city_signal,0.083021975849398,0.0,0.0,0.0,0.0,0,26.416967391967773,,0,0
SZ500_0001_0071,宝安区,113.7574303,22.71631549,0.25,1.0,no,,low_pet_city_signal,0.0871549092048833,0.0,0.0,0.0,0.0,0,26.416967391967773,,0,0
SZ500_0001_0072,宝安区,113.75752076,22.72082711,0.24926832699999998,0.997073,no,,low_pet_city_signal,0.0465956806043491,0.0,0.0,0.0,0.0,0,11.410567283630371,,0,0
SZ500_0001_0073,宝安区,113.75761125,22.72533874,0.18092012200000002,0.72368,no,,low_pet_city_signal,0.0076908064290157,0.0,0.0,0.0,0.0,0,16.079917907714844,1.2653110027313232,0,0
SZ500_0001_0074,宝安区,113.75770176,22.72985036,0.06842156699999999,0.273686,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,16.079917907714844,,0,0
SZ500_0001_0075,宝安区,113.75779229,22.73436198,0.0006585180000000001,0.002634,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,11.744630813598633,,0,0
SZ500_0002_0060,宝安区,113.76129811,22.66660361,6.038e-05,0.000242,yes,,low_pet_city_signal,0.0,0.0,0.0,0.0,0.0,0,,,0,0
SZ500_0002_0061,宝安区,113.76138848,22.67111525,0.075517649,0.302071,yes,,low_pet_city_signal,0.0108856940623493,0.0,0.0,0.0,0.0,0,128.33729553222656,,0,0
SZ500_0002_0062,宝安区,113.76147887,22.67562689,0.212751899,0.851008,no,,low_pet_city_signal,0.0471657447054337,0.0,0.0,0.0,0.0,0,,,0,0
SZ500_0002_0063,宝安区,113.76156929,22.68013852,0.25,1.0,no,,low_pet_city_signal,0.0870889765247615,0.0,0.0,0.0,0.0,0,,,0,0
SZ500_0002_0064,宝安区,113.76165973,22.68465015,0.25,1.0,no,,low_pet_city_signal,0.1619582273329313,0.0,0.0,0.0,1.0,0,7.957220554351807,,0,0
SZ500_0002_0065,宝安区,113.76175019,22.68916178,0.25,1.0,no,,low_pet_city_signal,0.0758992456736808,0.0,0.0,0.0,0.0,0,7.957220554351807,,0,0
SZ500_0002_0066,宝安区,113.76184067,22.69367341,0.25,1.0,no,,low_pet_city_signal,0.0711498985898934,0.0,0.0,0.0,0.0,0,59.8900032043457,,0,0
SZ500_0002_0067,宝安区,113.76193118,22.69818503,0.25,1.0,no,,low_pet_city_signal,0.0683743451707142,0.0,0.0,0.0,0.0,0,59.8900032043457,,0,0
SZ500_0002_0068,宝安区,113.76202171,22.70269665,0.25,1.0,no,,low_pet_city_signal,0.0657350367675223,0.0,0.0,0.0,0.0,0,363.364013671875,,0,0
SZ500_0002_0069,宝安区,113.76211226,22.70720827,0.25,1.0,no,,low_pet_city_signal,0.2029129141368799,0.0,0.0,0.0,1.0,0,363.364013671875,1.0481810569763184,0,0
SZ500_0002_0070,宝安区,113.76220284,22.71171989,0.25,1.0,no,,low_pet_city_signal,0.1455175882424678,0.0,0.0,0.0,1.0,0,88.71443176269531,0.598688006401062,0,0
SZ500_0002_0071,宝安区,113.76229344,22.7162315,0.25,1.0,no,,low_pet_city_signal,0.0684011194489946,0.0,0.0,0.0,0.0,0,88.71443176269531,0.014103000052273273,0,0
SZ500_0002_0072,宝安区,113.76238406,22.72074311,0.25,1.0,no,,low_pet_city_signal,0.0720722569191175,0.0,0.0,0.0,0.0,0,129.6966094970703,1.6115100383758545,0,0
