grid_id,district_name,grid_emergence_type_v51,emergence_index_v51,suppression_index_v51,queen_neighbor_count,frontier_neighbor_count,frontier_neighbor_share,frontier_v51
SZ500_0000_0066,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0000_0067,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0000_0068,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0000_0069,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0000_0070,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0000_0071,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0000_0072,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0001_0062,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0001_0063,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0001_0064,宝安区,low_pet_city_signal,0.0712629340441044,0.0,5,0,0.0,0
SZ500_0001_0065,宝安区,low_pet_city_signal,0.0061765367088872,0.0,6,0,0.0,0
SZ500_0001_0066,宝安区,low_pet_city_signal,0.0458222172590079,0.0,7,0,0.0,0
SZ500_0001_0067,宝安区,low_pet_city_signal,0.0871457086798265,0.0,8,0,0.0,0
SZ500_0001_0068,宝安区,low_pet_city_signal,0.1657354577146488,0.0,8,0,0.0,0
SZ500_0001_0069,宝安区,low_pet_city_signal,0.0826350861588604,0.0,8,0,0.0,0
SZ500_0001_0070,宝安区,low_pet_city_signal,0.083021975849398,0.0,8,0,0.0,0
SZ500_0001_0071,宝安区,low_pet_city_signal,0.0871549092048833,0.0,8,0,0.0,0
SZ500_0001_0072,宝安区,low_pet_city_signal,0.0465956806043491,0.0,7,0,0.0,0
SZ500_0001_0073,宝安区,low_pet_city_signal,0.0076908064290157,0.0,6,0,0.0,0
SZ500_0001_0074,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0001_0075,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0002_0060,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0002_0061,宝安区,low_pet_city_signal,0.0108856940623493,0.0,6,0,0.0,0
SZ500_0002_0062,宝安区,low_pet_city_signal,0.0471657447054337,0.0,7,0,0.0,0
SZ500_0002_0063,宝安区,low_pet_city_signal,0.0870889765247615,0.0,8,0,0.0,0
SZ500_0002_0064,宝安区,low_pet_city_signal,0.1619582273329313,0.0,8,0,0.0,0
SZ500_0002_0065,宝安区,low_pet_city_signal,0.0758992456736808,0.0,8,0,0.0,0
SZ500_0002_0066,宝安区,low_pet_city_signal,0.0711498985898934,0.0,8,0,0.0,0
SZ500_0002_0067,宝安区,low_pet_city_signal,0.0683743451707142,0.0,8,0,0.0,0
SZ500_0002_0068,宝安区,low_pet_city_signal,0.0657350367675223,0.0,8,0,0.0,0
SZ500_0002_0069,宝安区,low_pet_city_signal,0.2029129141368799,0.0,8,0,0.0,0
SZ500_0002_0070,宝安区,low_pet_city_signal,0.1455175882424678,0.0,8,0,0.0,0
SZ500_0002_0071,宝安区,low_pet_city_signal,0.0684011194489946,0.0,8,0,0.0,0
SZ500_0002_0072,宝安区,low_pet_city_signal,0.0720722569191175,0.0,8,0,0.0,0
SZ500_0002_0073,宝安区,low_pet_city_signal,0.2185994377613163,0.0,8,0,0.0,0
SZ500_0002_0074,宝安区,low_pet_city_signal,0.2287520503540355,0.0,8,0,0.0,0
SZ500_0002_0075,宝安区,low_pet_city_signal,0.0513909672963452,0.0,7,0,0.0,0
SZ500_0002_0076,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0003_0058,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0003_0059,宝安区,low_pet_city_signal,0.0090781076625884,0.0,6,0,0.0,0
SZ500_0003_0060,宝安区,low_pet_city_signal,0.0439912718158793,0.0,7,0,0.0,0
SZ500_0003_0061,宝安区,low_pet_city_signal,0.0817078354598162,0.0,8,0,0.0,0
SZ500_0003_0062,宝安区,low_pet_city_signal,0.0731518794836934,0.0,8,0,0.0,0
SZ500_0003_0063,宝安区,low_pet_city_signal,0.0691541569312742,0.0,8,0,0.0,0
SZ500_0003_0064,宝安区,low_pet_city_signal,0.0651984880810858,0.0,8,0,0.0,0
SZ500_0003_0065,宝安区,low_pet_city_signal,0.0630237852916692,0.0,8,0,0.0,0
SZ500_0003_0066,宝安区,low_pet_city_signal,0.0605701802819463,0.0,8,0,0.0,0
SZ500_0003_0067,宝安区,low_pet_city_signal,0.0583684773507606,0.0,8,0,0.0,0
SZ500_0003_0068,宝安区,low_pet_city_signal,0.1498082023742761,0.0,8,0,0.0,0
SZ500_0003_0069,宝安区,low_pet_city_signal,0.0555067472943434,0.0,8,0,0.0,0
SZ500_0003_0070,宝安区,low_pet_city_signal,0.1498008606318477,0.0,8,0,0.0,0
SZ500_0003_0071,宝安区,low_pet_city_signal,0.1946479298308394,0.0,8,0,0.0,0
SZ500_0003_0072,宝安区,low_pet_city_signal,0.0609795524223019,0.0,8,0,0.0,0
SZ500_0003_0073,宝安区,low_pet_city_signal,0.0645240822212486,0.0,8,0,0.0,0
SZ500_0003_0074,宝安区,low_pet_city_signal,0.1956148625712297,0.0,8,0,0.0,0
SZ500_0003_0075,宝安区,low_pet_city_signal,0.0785871202524856,0.0,8,0,0.0,0
SZ500_0003_0076,宝安区,low_pet_city_signal,0.0457385412247954,0.0,7,0,0.0,0
SZ500_0003_0077,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0004_0055,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0004_0056,宝安区,low_pet_city_signal,0.0,0.0,5,0,0.0,0
SZ500_0004_0057,宝安区,low_pet_city_signal,0.0058695760306802,0.0,6,0,0.0,0
SZ500_0004_0058,宝安区,low_pet_city_signal,0.0426826159160645,0.0,7,0,0.0,0
SZ500_0004_0059,宝安区,low_pet_city_signal,0.079915834455135,0.0,8,0,0.0,0
SZ500_0004_0060,宝安区,low_pet_city_signal,0.0715834971937624,0.0,8,0,0.0,0
SZ500_0004_0061,宝安区,low_pet_city_signal,0.0670495987015593,0.0,8,0,0.0,0
SZ500_0004_0062,宝安区,low_pet_city_signal,0.0626481702196167,0.0,8,0,0.0,0
SZ500_0004_0063,宝安区,low_pet_city_signal,0.0602909202810289,0.0,8,0,0.0,0
SZ500_0004_0064,宝安区,low_pet_city_signal,0.0581916576288937,0.0,8,0,0.0,0
SZ500_0004_0065,宝安区,low_pet_city_signal,0.150273602592708,0.0,8,0,0.0,0
SZ500_0004_0066,宝安区,low_pet_city_signal,0.1844190570785429,0.0,8,0,0.0,0
SZ500_0004_0067,宝安区,low_pet_city_signal,0.1469029682927117,0.0,8,0,0.0,0
SZ500_0004_0068,宝安区,low_pet_city_signal,0.1710106204524669,0.0,8,0,0.0,0
SZ500_0004_0069,宝安区,low_pet_city_signal,0.2287526681835583,0.0,8,0,0.0,0
SZ500_0004_0070,宝安区,low_pet_city_signal,0.1952591727917794,0.0,8,0,0.0,0
SZ500_0004_0071,宝安区,low_pet_city_signal,0.1420343997481505,0.0,8,0,0.0,0
SZ500_0004_0072,宝安区,low_pet_city_signal,0.1327703951477251,0.0,8,0,0.0,0
SZ500_0004_0073,宝安区,low_pet_city_signal,0.0570501007287914,0.0,8,0,0.0,0
SZ500_0004_0074,宝安区,low_pet_city_signal,0.0604716911719845,0.0,8,0,0.0,0
SZ500_0004_0075,宝安区,low_pet_city_signal,0.1623445606841669,0.0,8,0,0.0,0
SZ500_0004_0076,宝安区,low_pet_city_signal,0.1583586522598891,0.0,8,0,0.0,0
SZ500_0004_0077,宝安区,low_pet_city_signal,0.0473131391280258,0.0,7,0,0.0,0
SZ500_0004_0078,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0005_0053,宝安区,low_pet_city_signal,0.0,0.0,4,0,0.0,0
SZ500_0005_0054,宝安区,low_pet_city_signal,0.0103393375245399,0.0,6,0,0.0,0
SZ500_0005_0055,宝安区,low_pet_city_signal,0.0464422553133365,0.0,7,0,0.0,0
