candidate_id,year,name,candidate_classes,candidate_confidence,category_primary,category_secondary,category_tertiary,address,district,lon_wgs84,lat_wgs84,pet_service_weight,grid_id,district_name,a_medical_flag,a_retail_flag,a_grooming_flag,a_boarding_flag,a_training_flag
00002d2bd2941226,2025,Timi猫咪工作室,A_RETAIL,high,购物服务,专卖店,宠物用品店,新地中央花园(光明大街地铁站A口步行50米),光明区,113.93756062825412,22.76358635873022,1.0,SZ500_0038_0082,光明区,0,1,0,0,0
0023af1778fe29af,2025,动物检疫申报点,A_MEDICAL,high,医疗保健服务,动物医疗场所,动物医疗场所,新田大道与碧田路交叉口东北40米,宝安区,113.82513607338753,22.69671995114253,1.15,SZ500_0015_0067,宝安区,1,0,0,0,0
0071d855d9ee3a7b,2025,维特普宠物医院五联分院,A_MEDICAL,high,医疗保健服务,动物医疗场所,宠物诊所,龙岗街道五联社区友谊路6号105,龙岗区,114.22960811732204,22.74843196950742,1.15,SZ500_0098_0080,龙岗区,1,0,0,0,0
00b2a133556e4bdc,2025,艾美宠物(中航格澜阳光花园二期店),A_MEDICAL,high,医疗保健服务,动物医疗场所,宠物诊所,观湖街道润城社区中航格澜郡二期商业街1231铺,龙华区,114.04414803017272,22.69430327971159,1.15,SZ500_0060_0067,龙华区,1,0,0,0,0
00b964058ecffbc9,2025,一隅宠净宠物,A_MEDICAL,high,医疗保健服务,动物医疗场所,宠物诊所,任屋路与兴联工业区二巷交叉口西北120米,龙岗区,114.112757017816,22.69148678941282,1.15,SZ500_0074_0067,龙岗区,1,0,0,0,0
00c48710a687da02,2025,乐宠家族(大信大厦店),A_RETAIL,high,购物服务,专卖店,宠物用品店,宝安南路2066号大信大厦M层,罗湖区,114.10551733651008,22.551882737272145,1.0,SZ500_0073_0036,福田区,0,1,0,0,0
00c930ac6aa05fd5,2025,安安宠物医院.牙科.内窥镜专科(中洲分院),A_MEDICAL,high,医疗保健服务,动物医疗场所,宠物诊所,新安街道裕安二路中洲华府8号楼112铺,宝安区,113.89895236163775,22.577459039365785,1.15,SZ500_0031_0041,宝安区,1,0,0,0,0
00c944b986f5fb7c,2025,仁明动物医院,A_MEDICAL,high,医疗保健服务,动物医疗场所,宠物诊所,春生路3号(龙岗区人民医院后门),龙岗区,114.2211528368562,22.728586333697937,1.15,SZ500_0096_0076,龙岗区,1,0,0,0,0
00fcf23eaab77500,2025,瑞派宠物医院·24小时急重症·异宠(五环白石洲院),A_MEDICAL,high,医疗保健服务,动物医疗场所,宠物诊所,沙河街道白石洲村西一坊45号101号,南山区,113.96197000315036,22.53776148797885,1.15,SZ500_0044_0032,南山区,1,0,0,0,0
01bfda91477500d7,2025,吖头宠物(岭澳花园店),A_RETAIL,high,购物服务,专卖店,宠物用品店,大鹏新区大鹏新区建设路岭澳花园3栋,龙岗区,114.47314610698844,22.59115950938968,1.0,SZ500_0149_0046,龙岗区,0,1,0,0,0
01d4d8e9f345f566,2025,桔子猫舍(坂田店),A_RETAIL,high,购物服务,专卖店,宠物用品店,坂田街道下围西一巷11-1号,龙岗区,114.05852307492933,22.638283787635743,1.0,SZ500_0063_0055,龙岗区,0,1,0,0,0
