grid_id,district_name,liminal_surface,liminal_or_frontier_hosts,ecology_silent_hosts,positive_rule_count
SZ500_0000_0066,宝安区,0.0,0.0,0.0,0.0
SZ500_0000_0067,宝安区,0.0,0.0,0.0,0.0
SZ500_0000_0068,宝安区,0.0,0.0,0.0,0.0
SZ500_0000_0069,宝安区,0.0,0.0,0.0,0.0
SZ500_0000_0070,宝安区,0.0,0.0,0.0,0.0
SZ500_0000_0071,宝安区,0.0,0.0,0.0,0.0
SZ500_0000_0072,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0062,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0063,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0064,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0065,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0066,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0067,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0068,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0069,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0070,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0071,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0072,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0073,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0074,宝安区,0.0,0.0,0.0,0.0
SZ500_0001_0075,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0060,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0061,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0062,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0063,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0064,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0065,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0066,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0067,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0068,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0069,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0070,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0071,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0072,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0073,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0074,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0075,宝安区,0.0,0.0,0.0,0.0
SZ500_0002_0076,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0058,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0059,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0060,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0061,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0062,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0063,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0064,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0065,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0066,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0067,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0068,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0069,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0070,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0071,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0072,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0073,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0074,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0075,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0076,宝安区,0.0,0.0,0.0,0.0
SZ500_0003_0077,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0055,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0056,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0057,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0058,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0059,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0060,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0061,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0062,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0063,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0064,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0065,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0066,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0067,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0068,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0069,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0070,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0071,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0072,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0073,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0074,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0075,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0076,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0077,宝安区,0.0,0.0,0.0,0.0
SZ500_0004_0078,宝安区,0.0,0.0,0.0,0.0
SZ500_0005_0053,宝安区,0.0,0.0,0.0,0.0
SZ500_0005_0054,宝安区,0.0,0.0,0.0,0.0
SZ500_0005_0055,宝安区,0.0,0.0,0.0,0.0
SZ500_0005_0056,宝安区,0.0,0.0,0.0,0.0
SZ500_0005_0057,宝安区,0.0,0.0,0.0,0.0
SZ500_0005_0058,宝安区,0.0,0.0,0.0,0.0
