candidate_id,year,source_file,source_category,source_encoding,source_row_number,raw_id,name,type,typecode,address,lon_wgs84,lat_wgs84,coordinate_source,coordinate_status,province,city,district,adcode,category_primary,category_secondary,category_tertiary,raw_tel_present,candidate_group,candidate_classes,candidate_confidence,match_text_snippet,dedup_key,review_label,review_reason,is_core_service,is_extended_service,is_false_positive,reviewer,review_date
82f6b40645abd9ff,2015,深圳市2015/csv/深圳市2015购物服务.csv,购物服务,utf-8-sig,97882,97881,宠物寄养(长期),,,光明新区光明大街,113.948821,22.764118,LON/LAT_legacy,in_shenzhen_bounds,广东省,深圳市,宝安区,440306,购物服务,花鸟鱼虫市场,宠物市场,yes,A_high_confidence,A_BOARDING|B_AQUARIUM,high,宠物寄养(长期)   光明新区光明大街 购物服务 花鸟鱼虫市场 宠物市场,626278f06d946bb9,,,,,,,
84a02b694d2bac31,2016,深圳市2016/csv/深圳市2016购物服务a.csv,购物服务a,utf-8-sig,127284,,宠物寄养(长期),,060502,光明新区光明大街,113.948821,22.764118,LON/LAT_legacy,in_shenzhen_bounds,广东省,深圳市,宝安区,440306,购物服务,花鸟鱼虫市场,宠物市场,yes,A_high_confidence,A_BOARDING|B_AQUARIUM,high,宠物寄养(长期)  060502 光明新区光明大街 购物服务 花鸟鱼虫市场 宠物市场,81537dc6c178f606,,,,,,,
a957894d3c65e1e0,2017,深圳市2017/csv/2017购物服务_1.csv,购物服务_1,utf-8-sig,17408,,宠物寄养(长期),,060502,光明新区光明大街,113.948821,22.764118,LON/LAT_legacy,in_shenzhen_bounds,广东省,深圳市,宝安区,440306,购物服务,花鸟鱼虫市场,宠物市场,yes,A_high_confidence,A_BOARDING|B_AQUARIUM,high,宠物寄养(长期)  060502 光明新区光明大街 购物服务 花鸟鱼虫市场 宠物市场,8e6004ccaa770a4f,,,,,,,
0d41fed4b7c579f6,2018,深圳市2018/csv/2018_住宿服务.csv,住宿服务,utf-8-sig,6151,B0FFJE9JBI,乐添宠物酒店,,100000,朗麓家园10栋楼下,113.990842459,22.5883265219,lon/lat_lowercase,in_shenzhen_bounds,广东省,深圳市,南山区,440305,住宿服务,住宿服务相关,住宿服务相关,no,A_high_confidence,A_BOARDING,high,乐添宠物酒店  100000 朗麓家园10栋楼下 住宿服务 住宿服务相关 住宿服务相关,b208e98a0a923c31,,,,,,,
e022614ed0d4ed16,2018,深圳市2018/csv/2018_住宿服务.csv,住宿服务,utf-8-sig,6893,B0FFM7IW7D,吉克宠物酒店,,100100,马安堂中兴路,114.065006367,22.626397548,lon/lat_lowercase,in_shenzhen_bounds,广东省,深圳市,龙岗区,440307,住宿服务,宾馆酒店,宾馆酒店,no,A_high_confidence,A_BOARDING,high,吉克宠物酒店  100100 马安堂中兴路 住宿服务 宾馆酒店 宾馆酒店,d868cd4346ce620d,,,,,,,
9e60f43292778913,2018,深圳市2018/csv/2018_住宿服务.csv,住宿服务,utf-8-sig,7000,B0FFKMTP91,宠来登宠物酒店,,100100,民治街道白石龙社区中航阳光新苑2栋27P,114.034781436,22.6029371102,lon/lat_lowercase,in_shenzhen_bounds,广东省,深圳市,龙华区,440309,住宿服务,宾馆酒店,宾馆酒店,yes,A_high_confidence,A_BOARDING,high,宠来登宠物酒店  100100 民治街道白石龙社区中航阳光新苑2栋27P 住宿服务 宾馆酒店 宾馆酒店,3e01a0f444ff794b,,,,,,,
f9c9abccc8c0fdfa,2018,深圳市2018/csv/2018_住宿服务.csv,住宿服务,utf-8-sig,8708,B0FFKAQKD3,与它宠物酒店,,100000,兴南路与内环路交叉口东北100米,113.924897567,22.5083460633,lon/lat_lowercase,in_shenzhen_bounds,广东省,深圳市,南山区,440305,住宿服务,住宿服务相关,住宿服务相关,yes,A_high_confidence,A_BOARDING,high,与它宠物酒店  100000 兴南路与内环路交叉口东北100米 住宿服务 住宿服务相关 住宿服务相关,312361f25f8aee6a,,,,,,,
c11441aeee40627f,2018,深圳市2018/csv/2018_住宿服务.csv,住宿服务,utf-8-sig,9873,B0FFJ2K5JU,猫屿假日精选宠物酒店,,100000,深南大道2001号(嘉麟豪庭C座2701室),114.061773914,22.5414207855,lon/lat_lowercase,in_shenzhen_bounds,广东省,深圳市,福田区,440304,住宿服务,住宿服务相关,住宿服务相关,yes,A_high_confidence,A_BOARDING,high,猫屿假日精选宠物酒店  100000 深南大道2001号(嘉麟豪庭C座2701室) 住宿服务 住宿服务相关 住宿服务相关,91fac4d03126874b,,,,,,,
dc352b930e87005d,2018,深圳市2018/csv/2018_住宿服务.csv,住宿服务,utf-8-sig,10321,B0FFILKKZE,喵主驾到猫咪宠物寄养酒店,,100100,沙头街道新洲九街南嘉葆润金座家园B单元1207,114.042473812,22.5272247094,lon/lat_lowercase,in_shenzhen_bounds,广东省,深圳市,福田区,440304,住宿服务,宾馆酒店,宾馆酒店,yes,A_high_confidence,A_BOARDING,high,喵主驾到猫咪宠物寄养酒店  100100 沙头街道新洲九街南嘉葆润金座家园B单元1207 住宿服务 宾馆酒店 宾馆酒店,8793081d24451092,,,,,,,
4e63a6f700bd0486,2018,深圳市2018/csv/2018_生活服务.csv,生活服务,utf-8-sig,68249,B0FFKOTOAR,来电(宠来登宠物酒店),,072101,民治街道白石龙社区中航阳光新苑2栋27P,114.034781436,22.6029371102,lon/lat_lowercase,in_shenzhen_bounds,广东省,深圳市,龙华区,440309,生活服务,共享设备,充电宝,yes,A_high_confidence,A_BOARDING,high,来电(宠来登宠物酒店)  072101 民治街道白石龙社区中航阳光新苑2栋27P 生活服务 共享设备 充电宝,64a9059c099faef0,,,,,,,
