grid_id,district_name,pilot_area_type,baseline_mismatch_type,source_candidate,query_terms,collection_status,privacy_rule
SZ500_0088_0061,龙岗区,high_service_low_morph,high_service_low_morph_affordance,official_park_rules,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0088_0061,龙岗区,high_service_low_morph,high_service_low_morph_affordance,map_venue_reviews,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0088_0061,龙岗区,high_service_low_morph,high_service_low_morph_affordance,xiaohongshu_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0088_0061,龙岗区,high_service_low_morph,high_service_low_morph_affordance,dianping_venue_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0088_0061,龙岗区,high_service_low_morph,high_service_low_morph_affordance,weibo_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0037_0026,南山区,high_service_low_morph,high_service_low_morph_affordance,official_park_rules,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0037_0026,南山区,high_service_low_morph,high_service_low_morph_affordance,map_venue_reviews,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0037_0026,南山区,high_service_low_morph,high_service_low_morph_affordance,xiaohongshu_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0037_0026,南山区,high_service_low_morph,high_service_low_morph_affordance,dianping_venue_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0037_0026,南山区,high_service_low_morph,high_service_low_morph_affordance,weibo_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0079_0035,罗湖区,high_service_low_morph,high_service_low_morph_affordance,official_park_rules,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0079_0035,罗湖区,high_service_low_morph,high_service_low_morph_affordance,map_venue_reviews,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0079_0035,罗湖区,high_service_low_morph,high_service_low_morph_affordance,xiaohongshu_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0079_0035,罗湖区,high_service_low_morph,high_service_low_morph_affordance,dianping_venue_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0079_0035,罗湖区,high_service_low_morph,high_service_low_morph_affordance,weibo_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0056_0051,龙华区,high_service_high_morph,high_service_high_morph_affordance,official_park_rules,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0056_0051,龙华区,high_service_high_morph,high_service_high_morph_affordance,map_venue_reviews,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0056_0051,龙华区,high_service_high_morph,high_service_high_morph_affordance,xiaohongshu_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0056_0051,龙华区,high_service_high_morph,high_service_high_morph_affordance,dianping_venue_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0056_0051,龙华区,high_service_high_morph,high_service_high_morph_affordance,weibo_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0055_0054,龙华区,high_service_high_morph,high_service_high_morph_affordance,official_park_rules,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0055_0054,龙华区,high_service_high_morph,high_service_high_morph_affordance,map_venue_reviews,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0055_0054,龙华区,high_service_high_morph,high_service_high_morph_affordance,xiaohongshu_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0055_0054,龙华区,high_service_high_morph,high_service_high_morph_affordance,dianping_venue_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
SZ500_0055_0054,龙华区,high_service_high_morph,high_service_high_morph_affordance,weibo_public_search,宠物友好; 禁宠; 可带宠; 狗; 猫; 投诉; 卫生; 安全,seed_only_no_scraping,no user identifiers; no raw personal data
